timestamp,flux_nA
2025-11-02T07:27:44.568,-0.09
2025-11-02T07:27:45.070,-0.09
2025-11-02T07:27:45.573,-0.09
2025-11-02T07:27:46.071,-0.09
2025-11-02T07:27:46.571,-0.11
2025-11-02T07:27:47.073,-0.11
2025-11-02T07:27:47.565,-0.1
2025-11-02T07:27:48.081,-0.1
2025-11-02T07:27:48.566,-0.09
2025-11-02T07:27:49.070,-0.12
2025-11-02T07:27:49.576,-0.12
2025-11-02T07:27:50.071,-0.1
2025-11-02T07:27:50.605,-0.1
2025-11-02T07:27:51.060,-0.12
2025-11-02T07:27:51.563,-0.08
2025-11-02T07:27:52.074,-0.15
2025-11-02T07:27:52.571,-0.12
2025-11-02T07:27:53.073,-0.12
2025-11-02T07:27:53.570,-0.1
2025-11-02T07:27:54.072,-0.09
2025-11-02T07:27:54.567,-0.09
2025-11-02T07:27:55.076,-0.11
2025-11-02T07:27:55.565,-0.11
2025-11-02T07:27:56.061,-0.11
2025-11-02T07:27:56.576,-0.11
2025-11-02T07:27:57.069,-0.12
2025-11-02T07:27:57.567,-0.11
2025-11-02T07:27:58.067,-0.11
2025-11-02T07:27:58.569,-0.08
2025-11-02T07:27:59.077,-0.11
2025-11-02T07:27:59.568,-0.11
2025-11-02T07:28:00.074,-0.1
2025-11-02T07:28:00.567,-0.09
2025-11-02T07:28:01.067,-0.11
2025-11-02T07:28:01.574,-0.11
2025-11-02T07:28:02.068,-0.11
2025-11-02T07:28:02.577,-0.1
2025-11-02T07:28:03.091,-0.1
2025-11-02T07:28:03.582,-0.11
2025-11-02T07:28:04.083,-0.12
2025-11-02T07:28:04.582,-0.09
2025-11-02T07:28:05.080,-0.12
2025-11-02T07:28:05.582,-0.14
2025-11-02T07:28:06.091,-0.12999999999999998
2025-11-02T07:28:06.576,-0.12999999999999998
2025-11-02T07:28:07.086,-0.1
2025-11-02T07:28:07.597,-0.1
2025-11-02T07:28:08.103,-0.12999999999999998
2025-11-02T07:28:08.603,-0.09
2025-11-02T07:28:09.105,-0.12999999999999998
2025-11-02T07:28:09.623,-0.08
2025-11-02T07:28:10.114,-0.08
2025-11-02T07:28:10.619,-0.12
2025-11-02T07:28:11.124,-0.11
2025-11-02T07:28:12.213,-0.11
2025-11-02T07:28:12.619,-0.08
2025-11-02T07:28:13.121,-0.08
2025-11-02T07:28:13.620,-0.09
2025-11-02T07:28:14.110,-0.14
2025-11-02T07:28:14.611,-0.12
2025-11-02T07:28:15.112,-0.12999999999999998
2025-11-02T07:28:15.618,-0.08
2025-11-02T07:28:16.127,-0.11
2025-11-02T07:28:16.636,-0.11
2025-11-02T07:28:17.131,-0.1
2025-11-02T07:28:17.637,-0.11
2025-11-02T07:28:18.144,-0.11
2025-11-02T07:28:18.652,-0.1
2025-11-02T07:28:19.145,-0.12
2025-11-02T07:28:19.658,-0.08
2025-11-02T07:28:20.167,-0.08
2025-11-02T07:28:20.660,-0.11
2025-11-02T07:28:21.174,-0.1
2025-11-02T07:28:21.676,-0.11
2025-11-02T07:28:22.176,-0.11
2025-11-02T07:28:22.677,-0.1
2025-11-02T07:28:23.173,-0.1
2025-11-02T07:28:23.680,-0.1
2025-11-02T07:28:24.188,-0.11
2025-11-02T07:28:24.676,-0.1
2025-11-02T07:28:25.172,-0.1
2025-11-02T07:28:25.676,-0.09
2025-11-02T07:28:26.175,-0.1
2025-11-02T07:28:26.677,-0.11
2025-11-02T07:28:27.185,-0.11
2025-11-02T07:28:27.708,-0.1
2025-11-02T07:28:28.220,-0.09
2025-11-02T07:28:28.722,-0.11
2025-11-02T07:28:29.219,-0.12
2025-11-02T07:28:29.727,-0.12
2025-11-02T07:28:30.219,-0.11
2025-11-02T07:28:30.772,-0.1
2025-11-02T07:28:31.221,-0.1
2025-11-02T07:28:31.723,-0.15
2025-11-02T07:28:32.219,-0.12
2025-11-02T07:28:32.733,-0.08
2025-11-02T07:28:33.230,-0.1
2025-11-02T07:28:33.721,-0.11
2025-11-02T07:28:34.224,-0.11
2025-11-02T07:28:34.726,-0.08
2025-11-02T07:28:35.226,-0.11
2025-11-02T07:28:35.724,-0.09
2025-11-02T07:28:36.224,-0.09
2025-11-02T07:28:36.726,-0.12
2025-11-02T07:28:37.224,-0.09
2025-11-02T07:28:37.732,-0.09
2025-11-02T07:28:38.235,-0.12
2025-11-02T07:28:38.721,-0.1
2025-11-02T07:28:39.221,-0.1
2025-11-02T07:28:39.715,-0.09
2025-11-02T07:28:40.261,-0.12
2025-11-02T07:28:40.736,-0.12
2025-11-02T07:28:41.247,-0.1
2025-11-02T07:28:41.743,-0.14
2025-11-02T07:28:42.245,-0.11
2025-11-02T07:28:43.711,-0.1
2025-11-02T07:28:43.824,-0.1
2025-11-02T07:28:44.957,-0.11
2025-11-02T07:28:46.224,-0.11
2025-11-02T07:28:46.363,-0.11
2025-11-02T07:28:47.490,-0.09
2025-11-02T07:28:48.618,-0.09
2025-11-02T07:28:48.787,-0.09
2025-11-02T07:28:51.065,-0.11
2025-11-02T07:28:51.292,-0.11
2025-11-02T07:28:53.546,-0.1
2025-11-02T07:28:53.792,-0.11
2025-11-02T07:28:56.059,-0.1
2025-11-02T07:28:56.300,-0.12
2025-11-02T07:28:58.555,-0.11
2025-11-02T07:28:58.820,-0.11
2025-11-02T07:29:00.326,-0.09
2025-11-02T07:29:00.812,-0.09
2025-11-02T07:29:01.331,-0.12
2025-11-02T07:29:01.803,-0.1
2025-11-02T07:29:02.306,-0.12
2025-11-02T07:29:02.812,-0.09
2025-11-02T07:29:03.303,-0.1
2025-11-02T07:29:04.468,-0.12
2025-11-02T07:29:05.714,-0.09
2025-11-02T07:29:05.858,-0.09
2025-11-02T07:29:06.966,-0.12
2025-11-02T07:29:08.220,-0.1
2025-11-02T07:29:08.347,-0.1
2025-11-02T07:29:09.460,-0.12
2025-11-02T07:29:10.726,-0.09
2025-11-02T07:29:10.866,-0.09
2025-11-02T07:29:11.970,-0.09
2025-11-02T07:29:12.331,-0.08
2025-11-02T07:29:12.848,-0.1
2025-11-02T07:29:13.349,-0.1
2025-11-02T07:29:13.850,-0.1
2025-11-02T07:29:14.362,-0.12999999999999998
2025-11-02T07:29:14.864,-0.1
2025-11-02T07:29:15.378,-0.12
2025-11-02T07:29:15.880,-0.11
2025-11-02T07:29:16.393,-0.1
2025-11-02T07:29:16.897,-0.09
2025-11-02T07:29:17.407,-0.1
2025-11-02T07:29:17.897,-0.1
2025-11-02T07:29:18.397,-0.11
2025-11-02T07:29:19.591,-0.1
2025-11-02T07:29:20.847,-0.06
2025-11-02T07:29:20.975,0.09
2025-11-02T07:29:21.404,0.09
2025-11-02T07:29:21.906,0.08
2025-11-02T07:29:22.406,0.11
2025-11-02T07:29:22.921,-0.1
2025-11-02T07:29:23.424,0.09
2025-11-02T07:29:23.912,0.09
2025-11-02T07:29:24.417,0.09
2025-11-02T07:29:24.916,0.09
2025-11-02T07:29:25.422,0.09
2025-11-02T07:29:25.911,0.08
2025-11-02T07:29:26.414,0.11
2025-11-02T07:29:26.923,0.09
2025-11-02T07:29:27.419,0.08
2025-11-02T07:29:27.921,0.14
2025-11-02T07:29:29.243,0.1
2025-11-02T07:29:29.426,0.1
2025-11-02T07:29:29.941,0.12
2025-11-02T07:29:30.440,0.16
2025-11-02T07:29:30.937,0.17
2025-11-02T07:29:31.454,0.12
2025-11-02T07:29:31.946,0.12
2025-11-02T07:29:32.446,0.16
2025-11-02T07:29:32.950,0.18
2025-11-02T07:29:33.459,0.12999999999999998
2025-11-02T07:29:33.954,0.16
2025-11-02T07:29:34.465,0.15
2025-11-02T07:29:34.956,0.16
2025-11-02T07:29:35.446,0.16
2025-11-02T07:29:35.957,0.12999999999999998
2025-11-02T07:29:36.470,0.16
2025-11-02T07:29:36.988,0.16
2025-11-02T07:29:37.497,0.12999999999999998
2025-11-02T07:29:37.993,0.16
2025-11-02T07:29:39.342,0.21
2025-11-02T07:29:39.496,0.21
2025-11-02T07:29:39.989,0.25999999999999995
2025-11-02T07:29:40.490,0.28
2025-11-02T07:29:40.986,0.32
2025-11-02T07:29:41.487,0.27
2025-11-02T07:29:41.986,0.31
2025-11-02T07:29:42.494,0.31
2025-11-02T07:29:42.987,0.28
2025-11-02T07:29:43.489,0.29
2025-11-02T07:29:43.995,0.3
2025-11-02T07:29:44.511,0.28
2025-11-02T07:29:45.014,0.31
2025-11-02T07:29:45.596,0.29
2025-11-02T07:29:46.032,0.29
2025-11-02T07:29:46.541,0.3
2025-11-02T07:29:47.036,0.29
2025-11-02T07:29:48.228,0.38
2025-11-02T07:29:48.535,0.5
2025-11-02T07:29:49.045,0.5499999999999999
2025-11-02T07:29:49.535,0.5499999999999999
2025-11-02T07:29:50.042,0.58
2025-11-02T07:29:50.540,0.57
2025-11-02T07:29:51.049,0.56
2025-11-02T07:29:51.558,0.56
2025-11-02T07:29:52.063,0.58
2025-11-02T07:29:52.553,0.54
2025-11-02T07:29:53.052,0.54
2025-11-02T07:29:53.548,0.5499999999999999
2025-11-02T07:29:55.051,0.9099999999999999
2025-11-02T07:29:55.570,0.9500000000000001
2025-11-02T07:29:56.073,1.03
2025-11-02T07:29:56.563,1.03
2025-11-02T07:29:57.063,0.9900000000000001
2025-11-02T07:29:57.580,0.97
2025-11-02T07:29:58.094,0.9900000000000001
2025-11-02T07:29:58.600,0.9500000000000001
2025-11-02T07:29:59.102,0.9900000000000001
2025-11-02T07:29:59.592,0.93
2025-11-02T07:30:00.101,0.93
2025-11-02T07:30:00.607,0.97
2025-11-02T07:30:01.107,0.9400000000000001
2025-11-02T07:30:01.596,0.92
2025-11-02T07:30:02.118,0.93
2025-11-02T07:30:02.612,0.9099999999999999
2025-11-02T07:30:03.114,0.9
2025-11-02T07:30:03.612,0.87
2025-11-02T07:30:04.109,0.87
2025-11-02T07:30:04.623,0.88
2025-11-02T07:30:06.120,0.85
2025-11-02T07:30:06.643,0.8300000000000001
2025-11-02T07:30:07.128,0.8
2025-11-02T07:30:07.634,0.8
2025-11-02T07:30:08.129,0.7899999999999999
2025-11-02T07:30:08.643,0.76
2025-11-02T07:30:09.152,0.8
